ID,COMMUNITY.AREA.NAME,BUILDING_SUBTYPE,TOTAL.KWH,THERMS.TOTAL.SQFT,KWH.MEAN.2010,THERM.MEAN.2010,THERMS.SQFT.MEAN.2010,Age_Group
8280,Hermosa,Single Family,114220,16277,8786.15,1665.43,1162.64,Ancient
8285,Hermosa,Single Family,129476,16024,10789.67,1512.14,1144.57,Middle3
8292,Hermosa,Single Family,167411,16970,11160.73,1375.93,1212.14,Middle3
8294,Hermosa,Single Family,55451,6101,11090.2,1865.2,1220.2,Ancient
8296,Hermosa,Single Family,93737,14323,8521.55,1287.33,1193.58,Middle3
8300,Hermosa,Single Family,31430,5702,6286,1190.2,1140.4,Middle3
8303,Hermosa,Single Family,61937,10799,7742.13,1697.44,1199.89,Middle3
8306,Hermosa,Single Family,72883,12986,7288.3,1754.5,1298.6,Middle3
8307,Hermosa,Single Family,171714,20250,10732.13,1769.94,1265.63,Middle3
8308,Hermosa,Single Family,187745,18514,10430.28,1598.61,1028.56,Middle3
8315,Hermosa,Single Family,75129,8863,10732.71,1322.14,1266.14,Middle2
8322,Hermosa,Single Family,48859,7047,8143.17,1076.33,1174.5,Ancient
8324,Hermosa,Single Family,65775,8315,9396.43,1599.71,1187.86,Ancient
8325,Hermosa,Single Family,104347,12427,8695.58,1594.09,1129.73,Ancient
8326,Hermosa,Single Family,73193,10922,8132.56,1243.33,1213.56,Middle2
8333,Hermosa,Single Family,27633,2623,6908.25,1331.5,1311.5,Newer
8346,Hermosa,Single Family,125802,20657,7862.63,1509.35,1215.12,Ancient
8353,Hermosa,Single Family,99883,13302,9080.27,1563.91,1209.27,Ancient
8354,Hermosa,Single Family,172864,17651,13297.23,1496.93,1260.79,Middle3
8361,Hermosa,Single Family,120934,11220,10994,1547.27,1020,Middle3
8364,Hermosa,Single Family,92821,11035,9282.1,1452.7,1103.5,Middle3
8377,Humboldt Park,Single Family,175108,16914,12507.71,1460.07,1208.14,Ancient
8382,Humboldt Park,Single Family,62850,11675,6285,1093.1,1167.5,Middle3
8385,Humboldt Park,Single Family,28834,5105,5766.8,1583.4,1021,Middle3
8387,Humboldt Park,Single Family,12882,4997,6441,1412.25,1249.25,Ancient
8400,Humboldt Park,Single Family,7776,2264,3888,1397,1132,Middle2
8408,Humboldt Park,Single Family,26302,4524,8767.33,1618.5,1131,Ancient
8409,Humboldt Park,Single Family,47619,4811,11904.75,1131.75,1202.75,Ancient
8412,Humboldt Park,Single Family,44142,8937,7357,1468.14,1276.71,Middle3
8414,Humboldt Park,Single Family,53260,8258,7608.57,1334.86,1179.71,Middle2
